ticker,name,exchange,region,currency,sector
SPGI,S&P Global,US,US,USD,Financials
CRM,Salesforce,US,US,USD,Information Technology
SNDK,Sandisk,US,US,USD,Information Technology
SBAC,SBA Communications,US,US,USD,Real Estate
SLB,Schlumberger,US,US,USD,Energy
STX,Seagate Technology,US,US,USD,Information Technology
SRE,Sempra,US,US,USD,Utilities
NOW,ServiceNow,US,US,USD,Information Technology
SHW,Sherwin-Williams,US,US,USD,Materials
SPG,Simon Property Group,US,US,USD,Real Estate
SWKS,Skyworks Solutions,US,US,USD,Information Technology
SJM,J.M. Smucker Company (The),US,US,USD,Consumer Staples
SW,Smurfit Westrock,US,US,USD,Materials
SNA,Snap-on,US,US,USD,Industrials
SOLV,Solventum,US,US,USD,Health Care
SO,Southern Company,US,US,USD,Utilities
LUV,Southwest Airlines,US,US,USD,Industrials
SWK,Stanley Black & Decker,US,US,USD,Industrials
SBUX,Starbucks,US,US,USD,Consumer Discretionary
STT,State Street Corporation,US,US,USD,Financials
STLD,Steel Dynamics,US,US,USD,Materials
STE,Steris,US,US,USD,Health Care
SYK,Stryker Corporation,US,US,USD,Health Care
SMCI,Supermicro,US,US,USD,Information Technology
SYF,Synchrony Financial,US,US,USD,Financials
SNPS,Synopsys,US,US,USD,Information Technology
SYY,Sysco,US,US,USD,Consumer Staples
TMUS,T-Mobile US,US,US,USD,Communication Services
TROW,T. Rowe Price,US,US,USD,Financials
TTWO,Take-Two Interactive,US,US,USD,Communication Services
TPR,"Tapestry, Inc.",US,US,USD,Consumer Discretionary
TRGP,Targa Resources,US,US,USD,Energy
TGT,Target Corporation,US,US,USD,Consumer Staples
TEL,TE Connectivity,US,US,USD,Information Technology
TDY,Teledyne Technologies,US,US,USD,Information Technology
TER,Teradyne,US,US,USD,Information Technology
TSLA,"Tesla, Inc.",US,US,USD,Consumer Discretionary
TXN,Texas Instruments,US,US,USD,Information Technology
TPL,Texas Pacific Land Corporation,US,US,USD,Energy
TXT,Textron,US,US,USD,Industrials
TMO,Thermo Fisher Scientific,US,US,USD,Health Care
TJX,TJX Companies,US,US,USD,Consumer Discretionary
TKO,TKO Group Holdings,US,US,USD,Communication Services
TTD,Trade Desk (The),US,US,USD,Communication Services
TSCO,Tractor Supply,US,US,USD,Consumer Discretionary
TT,Trane Technologies,US,US,USD,Industrials
TDG,TransDigm Group,US,US,USD,Industrials
TRV,Travelers Companies (The),US,US,USD,Financials
TRMB,Trimble Inc.,US,US,USD,Information Technology
TFC,Truist Financial,US,US,USD,Financials
TYL,Tyler Technologies,US,US,USD,Information Technology
TSN,Tyson Foods,US,US,USD,Consumer Staples
USB,U.S. Bancorp,US,US,USD,Financials
UBER,Uber,US,US,USD,Industrials
UDR,"UDR, Inc.",US,US,USD,Real Estate
ULTA,Ulta Beauty,US,US,USD,Consumer Discretionary
UNP,Union Pacific Corporation,US,US,USD,Industrials
UAL,United Airlines Holdings,US,US,USD,Industrials
UPS,United Parcel Service,US,US,USD,Industrials
URI,United Rentals,US,US,USD,Industrials
UNH,UnitedHealth Group,US,US,USD,Health Care
UHS,Universal Health Services,US,US,USD,Health Care
VLO,Valero Energy,US,US,USD,Energy
VEEV,Veeva Systems,US,US,USD,Health Care
VTR,Ventas,US,US,USD,Real Estate
VLTO,Veralto,US,US,USD,Industrials
VRSN,Verisign,US,US,USD,Information Technology
VRSK,Verisk Analytics,US,US,USD,Industrials
VZ,Verizon,US,US,USD,Communication Services
VRTX,Vertex Pharmaceuticals,US,US,USD,Health Care
VRT,Vertiv,US,US,USD,Industrials
VTRS,Viatris,US,US,USD,Health Care
VICI,Vici Properties,US,US,USD,Real Estate
V,Visa Inc.,US,US,USD,Financials
VST,Vistra Corp.,US,US,USD,Utilities
VMC,Vulcan Materials Company,US,US,USD,Materials
WRB,W. R. Berkley Corporation,US,US,USD,Financials
GWW,W. W. Grainger,US,US,USD,Industrials
WAB,Wabtec,US,US,USD,Industrials
DIS,Walt Disney Company (The),US,US,USD,Communication Services
WBD,Warner Bros. Discovery,US,US,USD,Communication Services
WM,Waste Management,US,US,USD,Industrials
WAT,Waters Corporation,US,US,USD,Health Care
WEC,WEC Energy Group,US,US,USD,Utilities
WFC,Wells Fargo,US,US,USD,Financials
WELL,Welltower,US,US,USD,Real Estate
WST,West Pharmaceutical Services,US,US,USD,Health Care
WDC,Western Digital,US,US,USD,Information Technology
WY,Weyerhaeuser,US,US,USD,Real Estate
WSM,"Williams-Sonoma, Inc.",US,US,USD,Consumer Discretionary
WMB,Williams Companies,US,US,USD,Energy
WTW,Willis Towers Watson,US,US,USD,Financials
WDAY,"Workday, Inc.",US,US,USD,Information Technology
WYNN,Wynn Resorts,US,US,USD,Consumer Discretionary
XEL,Xcel Energy,US,US,USD,Utilities
XYL,Xylem Inc.,US,US,USD,Industrials
YUM,Yum! Brands,US,US,USD,Consumer Discretionary
ZBRA,Zebra Technologies,US,US,USD,Information Technology
ZBH,Zimmer Biomet,US,US,USD,Health Care
ZTS,Zoetis,US,US,USD,Health Care
